City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
517,Bukene,TZ,-4.2333,32.8833,72.93,61,82,3.11,broken clouds
518,Belousovka,KZ,50.1339,82.5239,11.25,85,10,2.24,clear sky
519,Acapulco,MX,16.8634,-99.8901,85.82,62,20,4.61,few clouds
520,Talnakh,RU,69.4865,88.3972,-16.8,98,93,6.55,overcast clouds
521,Waddan,LY,29.1614,16.139,56.37,45,4,3.58,clear sky
522,Banepa,NP,27.6298,85.5214,52.12,76,20,3.44,few clouds
523,Le Port,RE,-20.9373,55.2919,75.2,69,17,3.0,few clouds
524,Vytegra,RU,61.0064,36.4481,21.6,90,99,9.6,overcast clouds
525,Suluq,LY,31.6682,20.2521,62.31,52,64,7.14,broken clouds
526,Aguimes,ES,27.9054,-15.4461,65.03,64,20,16.11,few clouds
527,Ellington,US,41.904,-72.4698,48.54,51,75,1.99,broken clouds
528,Guacimo,CR,10.2104,-83.6807,84.78,96,100,1.79,overcast clouds
529,Kalamata,GR,37.0389,22.1142,53.11,66,20,4.0,few clouds
530,Harstad,NO,68.799,16.5293,31.23,100,100,18.01,overcast clouds
531,Wajima,JP,37.4,136.9,43.2,68,97,29.62,overcast clouds
532,Divnogorsk,RU,55.9594,92.3619,28.89,82,100,6.24,overcast clouds
533,Vung Tau,VN,10.346,107.0843,77.27,79,26,10.45,scattered clouds
534,Yelizovo,RU,53.1873,158.3805,26.74,100,90,6.71,light shower snow
535,Rundu,NA,-17.9333,19.7667,79.74,42,45,5.39,light rain
536,Puerto Asis,CO,0.5133,-76.5007,88.36,60,99,3.22,overcast clouds
537,Bafra,TR,41.5678,35.9069,50.83,74,85,4.79,overcast clouds
538,Tamandare,BR,-8.7597,-35.1047,84.72,56,98,10.38,overcast clouds
539,Green River,US,41.5286,-109.4662,60.15,43,15,17.58,few clouds
540,Vestmannaeyjar,IS,63.4427,-20.2734,34.79,64,0,10.36,clear sky
541,Sumenep,ID,-7.0167,113.8667,77.94,88,99,3.98,heavy intensity rain
542,Stolin,BY,51.8912,26.846,27.93,87,70,5.66,broken clouds
543,Sisimiut,GL,66.9395,-53.6735,38.25,80,98,44.34,overcast clouds
544,Balaipungut,ID,1.05,101.2833,77.41,94,53,1.86,broken clouds
545,Camacha,PT,33.0833,-16.3333,63.36,72,75,13.8,broken clouds
546,Petrokamenskoye,RU,57.716,60.6484,37.26,86,100,12.46,overcast clouds
547,Abomsa,ET,9.9833,39.9833,70.07,33,47,5.5,scattered clouds
548,Kabanjahe,ID,3.1001,98.4908,66.96,96,40,3.98,scattered clouds
549,Kharan,PK,28.5833,65.4167,62.67,25,0,4.79,clear sky
550,Kant,IN,27.8,79.8,65.66,54,100,2.53,overcast clouds
551,Aasiaat,GL,68.7098,-52.8699,26.89,81,100,9.75,overcast clouds
552,Sungaipenuh,ID,-2.0833,101.3833,63.0,94,39,1.63,scattered clouds
553,Xai-Xai,MZ,-25.0519,33.6442,73.94,83,37,11.61,scattered clouds
554,Iroquois Falls,CA,48.7669,-80.6831,17.74,74,83,5.77,broken clouds
555,Mwanza,TZ,-2.5167,32.9,75.52,65,74,7.83,broken clouds
556,Mount Isa,AU,-20.7333,139.5,73.17,28,1,0.0,clear sky
557,Taunggyi,MM,20.7833,97.0333,51.8,86,62,1.72,broken clouds
558,Taksimo,RU,56.3444,114.8794,8.82,83,99,6.29,overcast clouds
559,Nisia Floresta,BR,-6.0911,-35.2086,86.81,54,56,13.09,broken clouds
560,Strezhevoy,RU,60.7333,77.5889,30.18,97,100,8.05,light snow
561,Yerbogachen,RU,61.2767,108.0108,-13.92,99,80,3.47,broken clouds
562,Shingu,JP,33.7333,135.9833,42.78,65,6,10.96,clear sky
563,Havelock,US,34.8791,-76.9013,66.43,47,62,4.0,broken clouds
564,Elizabeth City,US,36.2946,-76.2511,64.04,40,1,4.61,clear sky
565,Mahibadhoo,MV,3.7833,72.9667,81.66,79,56,7.07,broken clouds
566,Port Lincoln,AU,-34.7333,135.8667,57.81,82,82,12.53,broken clouds
567,Puebla,MX,18.8333,-98.0,76.77,32,83,2.64,broken clouds
568,Gat,IL,31.61,34.7642,64.08,100,57,12.41,broken clouds
569,Bubaque,GW,11.2833,-15.8333,82.47,61,61,11.7,broken clouds
570,Vattalkundu,IN,10.1667,77.7667,77.61,94,10,1.14,clear sky
571,Awbari,LY,26.5921,12.7805,60.73,15,97,7.96,overcast clouds
572,Jepara,ID,-5.1695,105.7044,73.78,94,44,3.94,scattered clouds
