City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
57,Kavieng,PG,2021-11-10 17:58:48,-2.5744,150.7967,82.78,74,41,13.09
58,Yar-Sale,RU,2021-11-10 18:01:38,66.8333,70.8333,8.33,86,87,7.23
59,Vaini,TO,2021-11-10 18:01:39,-21.2,-175.2,76.84,86,100,12.33
60,Husavik,IS,2021-11-10 18:01:28,66.0449,-17.3389,31.46,91,100,16.6
61,Keetmanshoop,NA,2021-11-10 18:01:39,-26.5833,18.1333,86.38,6,0,8.93
62,Dovolnoye,RU,2021-11-10 18:01:39,54.4958,79.6671,34.77,85,100,16.33
63,Vila Franca Do Campo,PT,2021-11-10 18:01:40,37.7167,-25.4333,72.19,85,55,11.14
64,Kahului,US,2021-11-10 18:01:16,20.8947,-156.47,78.84,74,24,3.0
65,Evensk,RU,2021-11-10 18:01:40,61.95,159.2333,10.15,95,97,6.38
66,Ribeira Grande,PT,2021-11-10 18:01:41,38.5167,-28.7,70.2,88,40,14.97
67,Malartic,CA,2021-11-10 17:57:18,48.1335,-78.1328,42.62,70,28,11.41
68,Port Shepstone,ZA,2021-11-10 18:01:42,-30.7414,30.455,68.02,83,6,12.46
69,Ilembula,TZ,2021-11-10 18:01:42,-8.9,34.5833,71.65,37,5,9.33
70,Monrovia,LR,2021-11-10 17:58:21,6.3005,-10.7969,81.0,76,66,8.14
71,Provideniya,RU,2021-11-10 18:01:42,64.3833,-173.3,14.13,75,3,3.98
72,Ukiah,US,2021-11-10 18:01:43,39.1502,-123.2078,57.97,85,90,0.0
73,Hobart,AU,2021-11-10 18:00:06,-42.8794,147.3294,48.06,91,90,3.0
74,Diamantina,BR,2021-11-10 18:01:43,-18.2494,-43.6003,71.04,75,98,5.26
75,Saskylakh,RU,2021-11-10 18:01:44,71.9167,114.0833,-9.72,100,96,5.77
76,Chokurdakh,RU,2021-11-10 18:01:44,70.6333,147.9167,2.55,96,100,8.68
77,Celendin,PE,2021-11-10 18:01:44,-6.8703,-78.1517,72.12,53,87,4.65
78,Hithadhoo,MV,2021-11-10 18:01:45,-0.6,73.0833,82.17,78,53,21.88
79,Puerto Baquerizo Moreno,EC,2021-11-10 18:01:45,-0.9,-89.6,69.62,83,75,12.3
80,Aklavik,CA,2021-11-10 18:01:45,68.2191,-135.0107,2.37,99,100,1.81
81,Kolpashevo,RU,2021-11-10 18:01:46,58.3131,82.9089,31.93,98,100,11.5
82,Piraquara,BR,2021-11-10 18:01:46,-25.4417,-49.0633,68.68,85,100,1.01
83,Mecca,SA,2021-11-10 18:01:46,21.4267,39.8261,80.29,51,6,2.24
84,Vestmannaeyjar,IS,2021-11-10 18:01:47,63.4427,-20.2734,38.39,87,20,6.91
85,Buchanan,LR,2021-11-10 18:01:47,5.8808,-10.0467,80.35,79,68,7.38
86,Bengkulu,ID,2021-11-10 18:01:48,-3.8004,102.2655,74.28,84,100,5.19
87,Bredasdorp,ZA,2021-11-10 18:01:48,-34.5322,20.0403,61.29,79,39,5.82
88,Avera,US,2021-11-10 18:01:48,33.194,-82.5271,76.71,29,96,5.95
89,Ducheng,CN,2021-11-10 18:01:49,23.2373,111.5317,56.62,62,2,1.83
90,Mochudi,BW,2021-11-10 18:01:49,-24.4167,26.15,83.28,31,67,9.82
91,Belmonte,BR,2021-11-10 18:01:50,-15.8631,-38.8828,82.08,67,88,10.4
92,Arraial Do Cabo,BR,2021-11-10 18:01:50,-22.9661,-42.0278,71.83,75,96,10.27
93,Palafrugell,ES,2021-11-10 18:02:50,41.9174,3.1631,59.56,54,96,8.99
94,Uvinza,TZ,2021-11-10 18:02:51,-5.1036,30.3911,73.2,50,24,3.76
95,Kamina,CD,2021-11-10 18:02:51,-8.7386,24.9906,64.63,80,100,3.36
96,Hamilton,US,2021-11-10 18:02:51,39.1834,-84.5333,67.98,64,20,1.99
97,San Quintin,MX,2021-11-10 18:02:52,30.4833,-115.95,68.92,65,0,13.06
98,Whitehorse,CA,2021-11-10 18:01:05,60.7161,-135.0538,17.31,85,23,15.01
99,Saint-Louis,SN,2021-11-10 18:02:52,16.3333,-15.0,92.44,12,94,10.29
100,Fort Morgan,US,2021-11-10 18:02:53,40.2503,-103.8,56.05,24,1,27.63
101,Cape Town,ZA,2021-11-10 18:00:04,-33.9258,18.4232,67.26,71,70,1.01
102,Mar Del Plata,AR,2021-11-10 17:58:20,-38.0023,-57.5575,66.22,88,0,25.01
103,Tiksi,RU,2021-11-10 18:02:53,71.6872,128.8694,-5.04,100,91,6.4
104,Chuy,UY,2021-11-10 18:02:53,-33.6971,-53.4616,67.77,51,30,11.3
105,Flin Flon,CA,2021-11-10 18:01:03,54.7682,-101.865,27.86,69,100,11.14
106,Bandarbeyla,SO,2021-11-10 17:59:10,9.4942,50.8122,78.93,74,18,16.93
107,Ilhabela,BR,2021-11-10 18:02:54,-23.7781,-45.3581,71.73,85,87,7.11
108,Kieta,PG,2021-11-10 18:00:26,-6.2167,155.6333,78.73,85,35,3.4
109,Warragul,AU,2021-11-10 18:02:55,-38.1667,145.9333,49.24,91,84,4.0
110,Bluff,NZ,2021-11-10 18:01:10,-46.6,168.3333,55.11,87,89,8.88
111,Namibe,AO,2021-11-10 17:59:13,-15.1961,12.1522,69.93,76,34,2.8
112,Jalu,LY,2021-11-10 18:02:55,29.0331,21.5482,74.5,36,100,11.61
113,Carnarvon,AU,2021-11-10 18:02:55,-24.8667,113.6333,66.99,55,0,21.54
114,Cabo San Lucas,MX,2021-11-10 18:02:56,22.8909,-109.9124,88.9,58,1,9.22
115,West Haven,US,2021-11-10 18:02:56,41.2706,-72.9471,66.42,51,20,14.97
116,Ostrovnoy,RU,2021-11-10 18:02:57,68.0531,39.5131,36.36,92,100,22.19
117,Faanui,PF,2021-11-10 18:02:57,-16.4833,-151.75,79.95,72,29,13.98
118,Biak,ID,2021-11-10 18:02:57,-0.9131,122.8766,76.8,85,100,3.33
119,Nosy Varika,MG,2021-11-10 18:02:58,-20.5833,48.5333,75.87,91,4,8.66
120,Tarutyne,UA,2021-11-10 18:02:58,46.1858,29.1506,37.13,48,6,5.79
121,San Borja,BO,2021-11-10 18:02:58,-14.8167,-66.85,99.32,29,99,5.03
122,Lebu,CL,2021-11-10 18:02:59,-37.6167,-73.65,59.68,64,100,9.35
123,Jinchang,CN,2021-11-10 18:02:59,38.4953,102.1739,28.13,32,78,1.97
124,Bathsheba,BB,2021-11-10 18:02:59,13.2167,-59.5167,82.42,72,13,12.8
125,Nikolskoye,RU,2021-11-10 18:03:00,59.7035,30.7861,42.87,95,100,12.15
126,Mehran,IR,2021-11-10 18:03:00,33.1222,46.1646,69.94,19,48,5.41
127,Georgetown,MY,2021-11-10 18:01:26,5.4112,100.3354,79.9,83,20,1.01
128,Millau,FR,2021-11-10 18:03:01,44.0833,2.9167,51.93,97,100,2.68
129,Flinders,AU,2021-11-10 18:01:22,-34.5833,150.8552,64.18,93,100,7.0
130,Rio Gallegos,AR,2021-11-10 17:58:20,-51.6226,-69.2181,60.85,29,75,27.63
131,Grindavik,IS,2021-11-10 18:03:02,63.8424,-22.4338,36.07,87,40,17.27
132,Cabedelo,BR,2021-11-10 18:00:46,-6.9811,-34.8339,83.17,66,49,14.14
133,Tuatapere,NZ,2021-11-10 18:03:03,-46.1333,167.6833,54.09,91,96,2.55
134,Sangar,RU,2021-11-10 18:03:03,63.9242,127.4739,-8.66,100,99,3.2
135,Bubaque,GW,2021-11-10 18:03:04,11.2833,-15.8333,83.77,61,76,11.01
136,Souillac,MU,2021-11-10 17:58:22,-20.5167,57.5167,75.58,73,40,9.22
137,Lugovoy,KZ,2021-11-10 18:04:05,42.9472,72.7644,39.16,55,2,4.41
138,Bambous Virieux,MU,2021-11-10 18:04:05,-20.3428,57.7575,74.21,73,17,7.83
139,Nome,US,2021-11-10 18:04:05,64.5011,-165.4064,1.47,85,40,0.0
140,Yellowknife,CA,2021-11-10 18:01:38,62.456,-114.3525,23.41,100,100,15.99
141,Kaitangata,NZ,2021-11-10 18:04:06,-46.2817,169.8464,53.6,93,93,3.42
142,Saint George,US,2021-11-10 18:01:01,37.1041,-113.5841,68.47,46,1,1.01
143,Stepnyak,KZ,2021-11-10 18:04:06,52.8339,70.7803,37.38,96,100,10.58
144,Odweyne,SO,2021-11-10 18:04:07,9.4092,45.064,70.54,45,21,13.51
145,Hasaki,JP,2021-11-10 18:00:32,35.7333,140.8333,55.8,55,0,24.74
146,Daru,PG,2021-11-10 18:04:07,-9.0763,143.2092,79.16,87,76,2.46
147,Ushtobe,KZ,2021-11-10 18:04:07,45.2514,77.9838,35.26,49,61,5.35
148,Algiers,DZ,2021-11-10 18:04:08,36.7525,3.042,58.42,74,94,10.18
149,Zhangye,CN,2021-11-10 18:04:08,38.9342,100.4517,22.59,48,2,2.15
150,Omsukchan,RU,2021-11-10 18:04:08,62.5333,155.8,3.56,81,82,6.85
151,San Francisco,US,2021-11-10 18:01:00,37.7749,-122.4194,63.91,85,40,1.01
152,Upernavik,GL,2021-11-10 18:04:09,72.7868,-56.1549,20.01,85,100,13.11
153,San Patricio,US,2021-11-10 18:04:09,28.017,-97.5169,84.29,51,96,16.08
154,Sarangani,PH,2021-11-10 18:04:10,5.4033,125.4636,82.71,77,100,18.97
155,Katsuura,JP,2021-11-10 18:04:10,35.1333,140.3,63.19,59,0,24.63
156,Nadadores,MX,2021-11-10 18:04:10,27.05,-101.6,79.25,64,1,0.0
157,Sungaipenuh,ID,2021-11-10 18:04:11,-2.0833,101.3833,64.2,93,100,0.83
158,Qaanaaq,GL,2021-11-10 18:04:11,77.484,-69.3632,-2.63,64,77,7.23
159,Mount Gambier,AU,2021-11-10 18:04:11,-37.8333,140.7667,49.14,73,99,6.87
160,Chengde,CN,2021-11-10 18:04:12,40.9725,117.9361,32.59,65,2,9.82
161,Shimoda,JP,2021-11-10 18:04:12,34.6667,138.95,56.1,69,13,24.96
162,Saint-Pierre,RE,2021-11-10 18:04:12,-21.3393,55.4781,73.29,68,0,4.61
163,Santa Rosa,PH,2021-11-10 18:02:37,14.3122,121.1114,82.09,78,90,9.51
164,Rorvik,NO,2021-11-10 18:04:13,64.8621,11.2373,44.71,87,75,32.21
165,Calabozo,VE,2021-11-10 18:04:13,8.9242,-67.4293,95.07,30,77,5.82
166,Byron Bay,AU,2021-11-10 18:04:14,-28.65,153.6167,75.06,96,100,10.47
167,Sorland,NO,2021-11-10 18:00:38,67.667,12.6934,44.46,83,100,30.82
168,Clyde River,CA,2021-11-10 18:04:14,70.4692,-68.5914,10.58,84,95,11.36
169,Aranos,NA,2021-11-10 18:04:15,-24.1333,19.1167,84.97,12,10,11.41
170,Yaan,NG,2021-11-10 18:04:15,7.3833,8.5667,82.06,70,69,8.21
171,Maceio,BR,2021-11-10 18:02:41,-9.6658,-35.7353,89.04,58,20,14.97
